selection_criterion,twonn_metric,external_metric,spearman_corr
best_by_level_lower_macro_f1,twonn_umap,level_lower_macro_f1,-0.05366094579577725
best_by_level_lower_macro_f1,twonn_space,level_lower_macro_f1,-0.11933395004625347
best_by_level_lower_macro_f1,twonn_umap,level_upper_macro_f1,-0.13679878174260193
best_by_level_lower_macro_f1,twonn_umap,level_macro_f1,-0.14950816973288883
best_by_level_lower_macro_f1,twonn_space,level_upper_macro_f1,-0.17967234639372145
best_by_level_lower_macro_f1,twonn_space,level_macro_f1,-0.19865118916176774
best_by_level_lower_macro_f1,twonn_umap,level_f1_depth_2,-0.2353130016051364
best_by_level_lower_macro_f1,twonn_space,level_f1_depth_2,-0.27352212706275547
best_by_level_lower_macro_f1,twonn_umap,level_weighted_f1,-0.3108284973453513
best_by_level_lower_macro_f1,twonn_space,level_weighted_f1,-0.3137924860493569
best_by_level_lower_macro_f1,twonn_raw,level_lower_macro_f1,-0.34486632456834587
best_by_level_lower_macro_f1,twonn_pca,level_lower_macro_f1,-0.36614678016508945
best_by_level_lower_macro_f1,twonn_pca,level_upper_macro_f1,-0.38290886452171735
best_by_level_lower_macro_f1,twonn_raw,level_upper_macro_f1,-0.3919604457042793
best_by_level_lower_macro_f1,twonn_raw,level_macro_f1,-0.4238470902234009
best_by_level_lower_macro_f1,twonn_space,level_f1_depth_6,-0.42917547943374956
best_by_level_lower_macro_f1,twonn_pca,level_macro_f1,-0.4379094538169025
best_by_level_lower_macro_f1,twonn_pca,level_weighted_f1,-0.46148113494341036
best_by_level_lower_macro_f1,twonn_umap,level_f1_depth_6,-0.4752836572861715
best_by_level_lower_macro_f1,twonn_raw,level_weighted_f1,-0.4827147416433176
best_by_level_lower_macro_f1,twonn_pca,level_f1_depth_2,-0.58614913734583
best_by_level_lower_macro_f1,twonn_raw,level_f1_depth_2,-0.5896576417228332
best_by_level_lower_macro_f1,twonn_pca,level_f1_depth_6,-0.6546536707079771
best_by_level_lower_macro_f1,twonn_raw,level_f1_depth_6,-0.6614378277661477
best_by_level_weighted_f1,twonn_pca,lca_similarity_spearman,0.6615785169506553
best_by_level_weighted_f1,twonn_pca,level_f1_depth_1,0.628580750450319
best_by_level_weighted_f1,twonn_raw,level_f1_depth_1,0.6210560390970443
best_by_level_weighted_f1,twonn_raw,lca_similarity_spearman,0.6107518834816367
best_by_level_weighted_f1,twonn_pca,level_upper_macro_f1,0.5961016249325777
best_by_level_weighted_f1,twonn_raw,level_upper_macro_f1,0.5675822724403643
best_by_level_weighted_f1,twonn_pca,recall,0.47274705178919285
best_by_level_weighted_f1,twonn_pca,f1-score,0.45990968953497646
best_by_level_weighted_f1,twonn_raw,recall,0.44322766541152525
best_by_level_weighted_f1,twonn_raw,f1-score,0.43807343931654746
best_by_level_weighted_f1,twonn_umap,recall,0.4229116591628577
best_by_level_weighted_f1,twonn_umap,level_f1_depth_1,0.4197901789975835
best_by_level_weighted_f1,twonn_pca,level_f1_depth_2,0.38919464615545274
best_by_level_weighted_f1,twonn_umap,level_upper_macro_f1,0.38901098901098896
best_by_level_weighted_f1,twonn_umap,lca_similarity_spearman,0.37742108079186726
best_by_level_weighted_f1,twonn_raw,level_f1_depth_2,0.37086620394547576
best_by_level_weighted_f1,twonn_space,level_f1_depth_1,0.35726461932382514
best_by_level_weighted_f1,twonn_space,lca_similarity_spearman,0.31911909522246423
best_by_level_weighted_f1,twonn_space,level_upper_macro_f1,0.2917847870848378
best_by_level_weighted_f1,twonn_space,recall,0.28963839962609306
best_by_level_weighted_f1,twonn_pca,dendrogram_purity,0.281288728109661
best_by_level_weighted_f1,twonn_raw,dendrogram_purity,0.27618739791177627
best_by_level_weighted_f1,twonn_umap,f1-score,0.2621146643618554
best_by_level_weighted_f1,twonn_pca,f0.5-score,0.23571681126507907
best_by_level_weighted_f1,twonn_raw,f0.5-score,0.23154609558500602
best_by_level_weighted_f1,twonn_pca,level_f1_depth_4,0.18647818846748476
best_by_level_weighted_f1,twonn_pca,precision,0.18595437333134013
best_by_level_weighted_f1,twonn_umap,dendrogram_purity,0.18480470840021399
best_by_level_weighted_f1,twonn_raw,precision,0.17758408178341564
best_by_level_weighted_f1,twonn_raw,level_f1_depth_4,0.17513126297425247
best_by_level_weighted_f1,twonn_umap,level_f1_depth_2,0.17347820718607232
best_by_level_weighted_f1,twonn_space,f1-score,0.16106651547253137
best_by_level_weighted_f1,twonn_umap,level_f1_depth_4,0.1480594312054986
best_by_level_weighted_f1,twonn_pca,level_f1_depth_5,0.13357285971687813
